"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)",
"1400000US37001020100","Census Tract 201; Alamance County; North Carolina","63846","9255",
"1400000US37001020200","Census Tract 202; Alamance County; North Carolina","30256","10141",
"1400000US37001020301","Census Tract 203.01; Alamance County; North Carolina","36997","18217",
"1400000US37001020302","Census Tract 203.02; Alamance County; North Carolina","39040","9529",
"1400000US37001020400","Census Tract 204; Alamance County; North Carolina","36639","3132",
"1400000US37001020501","Census Tract 205.01; Alamance County; North Carolina","56688","12860",
"1400000US37001020502","Census Tract 205.02; Alamance County; North Carolina","47538","12223",
"1400000US37001020601","Census Tract 206.01; Alamance County; North Carolina","105654","8626",
"1400000US37001020602","Census Tract 206.02; Alamance County; North Carolina","61076","18007",
"1400000US37001020701","Census Tract 207.01; Alamance County; North Carolina","64567","5682",
"1400000US37001020702","Census Tract 207.02; Alamance County; North Carolina","56883","7142",
"1400000US37001020801","Census Tract 208.01; Alamance County; North Carolina","52000","19876",
"1400000US37001020802","Census Tract 208.02; Alamance County; North Carolina","44830","7564",
"1400000US37001020901","Census Tract 209.01; Alamance County; North Carolina","57760","13740",
"1400000US37001020902","Census Tract 209.02; Alamance County; North Carolina","84490","6084",
"1400000US37001021000","Census Tract 210; Alamance County; North Carolina","32391","5623",
"1400000US37001021101","Census Tract 211.01; Alamance County; North Carolina","68854","12458",
"1400000US37001021102","Census Tract 211.02; Alamance County; North Carolina","56422","5399",
"1400000US37001021201","Census Tract 212.01; Alamance County; North Carolina","62304","7028",
"1400000US37001021204","Census Tract 212.04; Alamance County; North Carolina","78763","7247",
"1400000US37001021205","Census Tract 212.05; Alamance County; North Carolina","85735","13286",
"1400000US37001021206","Census Tract 212.06; Alamance County; North Carolina","69152","10534",
"1400000US37001021207","Census Tract 212.07; Alamance County; North Carolina","72917","24587",
"1400000US37001021300","Census Tract 213; Alamance County; North Carolina","69840","7273",
"1400000US37001021400","Census Tract 214; Alamance County; North Carolina","95611","20946",
"1400000US37001021500","Census Tract 215; Alamance County; North Carolina","83953","9151",
"1400000US37001021600","Census Tract 216; Alamance County; North Carolina","70130","21892",
"1400000US37001021701","Census Tract 217.01; Alamance County; North Carolina","101344","14004",
"1400000US37001021702","Census Tract 217.02; Alamance County; North Carolina","88250","29555",
"1400000US37001021703","Census Tract 217.03; Alamance County; North Carolina","67535","12142",
"1400000US37001021801","Census Tract 218.01; Alamance County; North Carolina","80845","6749",
"1400000US37001021802","Census Tract 218.02; Alamance County; North Carolina","61218","8897",
"1400000US37001021803","Census Tract 218.03; Alamance County; North Carolina","61654","16124",
"1400000US37001021901","Census Tract 219.01; Alamance County; North Carolina","84012","16916",
"1400000US37001021902","Census Tract 219.02; Alamance County; North Carolina","63644","12402",
"1400000US37001022001","Census Tract 220.01; Alamance County; North Carolina","105019","10665",
"1400000US37001022002","Census Tract 220.02; Alamance County; North Carolina","69205","14039",
"1400000US37003040100","Census Tract 401; Alexander County; North Carolina","51321","4464",
"1400000US37003040200","Census Tract 402; Alexander County; North Carolina","55727","7987",
"1400000US37003040300","Census Tract 403; Alexander County; North Carolina","60440","5275",
"1400000US37003040400","Census Tract 404; Alexander County; North Carolina","59710","8347",
"1400000US37003040500","Census Tract 405; Alexander County; North Carolina","74187","5185",
"1400000US37003040600","Census Tract 406; Alexander County; North Carolina","62593","12773",
"1400000US37003040700","Census Tract 407; Alexander County; North Carolina","72266","11578",
"1400000US37005950100","Census Tract 9501; Alleghany County; North Carolina","46996","8931",
"1400000US37005950200","Census Tract 9502; Alleghany County; North Carolina","39979","6889",
"1400000US37005950300","Census Tract 9503; Alleghany County; North Carolina","47974","16608",
"1400000US37007920100","Census Tract 9201; Anson County; North Carolina","46198","11084",
"1400000US37007920200","Census Tract 9202; Anson County; North Carolina","52434","13731",
"1400000US37007920301","Census Tract 9203.01; Anson County; North Carolina","58480","10887",
"1400000US37007920302","Census Tract 9203.02; Anson County; North Carolina","80179","55026",
"1400000US37007920400","Census Tract 9204; Anson County; North Carolina","31610","6646",
"1400000US37007920501","Census Tract 9205.01; Anson County; North Carolina","33509","9847",
"1400000US37007920502","Census Tract 9205.02; Anson County; North Carolina","44019","5312",
"1400000US37007920600","Census Tract 9206; Anson County; North Carolina","38438","16995",
"1400000US37007980000","Census Tract 9800; Anson County; North Carolina","-","**",
"1400000US37009970200","Census Tract 9702; Ashe County; North Carolina","47947","3316",
"1400000US37009970300","Census Tract 9703; Ashe County; North Carolina","46289","11956",
"1400000US37009970400","Census Tract 9704; Ashe County; North Carolina","50119","14049",
"1400000US37009970501","Census Tract 9705.01; Ashe County; North Carolina","49265","12816",
"1400000US37009970502","Census Tract 9705.02; Ashe County; North Carolina","49390","7351",
"1400000US37009970701","Census Tract 9707.01; Ashe County; North Carolina","65236","16089",
"1400000US37009970702","Census Tract 9707.02; Ashe County; North Carolina","55577","20142",
"1400000US37009970801","Census Tract 9708.01; Ashe County; North Carolina","55307","25148",
"1400000US37009970802","Census Tract 9708.02; Ashe County; North Carolina","52559","27288",
"1400000US37011930100","Census Tract 9301; Avery County; North Carolina","48984","7222",
"1400000US37011930200","Census Tract 9302; Avery County; North Carolina","70962","16946",
"1400000US37011930301","Census Tract 9303.01; Avery County; North Carolina","46440","4745",
"1400000US37011930302","Census Tract 9303.02; Avery County; North Carolina","48971","16255",
"1400000US37011930400","Census Tract 9304; Avery County; North Carolina","89573","32874",
"1400000US37013930101","Census Tract 9301.01; Beaufort County; North Carolina","74554","24683",
"1400000US37013930102","Census Tract 9301.02; Beaufort County; North Carolina","40570","7550",
"1400000US37013930200","Census Tract 9302; Beaufort County; North Carolina","56344","10841",
"1400000US37013930300","Census Tract 9303; Beaufort County; North Carolina","33733","6743",
"1400000US37013930400","Census Tract 9304; Beaufort County; North Carolina","53472","18855",
"1400000US37013930501","Census Tract 9305.01; Beaufort County; North Carolina","49057","7722",
"1400000US37013930502","Census Tract 9305.02; Beaufort County; North Carolina","61208","14876",
"1400000US37013930600","Census Tract 9306; Beaufort County; North Carolina","91094","10485",
"1400000US37013930700","Census Tract 9307; Beaufort County; North Carolina","75722","12967",
"1400000US37013930800","Census Tract 9308; Beaufort County; North Carolina","44306","9668",
"1400000US37013930900","Census Tract 9309; Beaufort County; North Carolina","75357","9969",
"1400000US37013931001","Census Tract 9310.01; Beaufort County; North Carolina","53125","24755",
"1400000US37013931002","Census Tract 9310.02; Beaufort County; North Carolina","59803","24907",
"1400000US37015960100","Census Tract 9601; Bertie County; North Carolina","50232","16154",
"1400000US37015960200","Census Tract 9602; Bertie County; North Carolina","49906","9204",
"1400000US37015960300","Census Tract 9603; Bertie County; North Carolina","38365","9909",
"1400000US37015960401","Census Tract 9604.01; Bertie County; North Carolina","43750","16903",
"1400000US37015960402","Census Tract 9604.02; Bertie County; North Carolina","53689","17265",
"1400000US37017950101","Census Tract 9501.01; Bladen County; North Carolina","47422","20351",
"1400000US37017950102","Census Tract 9501.02; Bladen County; North Carolina","60625","25564",
"1400000US37017950200","Census Tract 9502; Bladen County; North Carolina","35441","15225",
"1400000US37017950301","Census Tract 9503.01; Bladen County; North Carolina","35676","10176",
"1400000US37017950302","Census Tract 9503.02; Bladen County; North Carolina","72440","16990",
"1400000US37017950401","Census Tract 9504.01; Bladen County; North Carolina","31175","6043",
"1400000US37017950402","Census Tract 9504.02; Bladen County; North Carolina","50694","24040",
"1400000US37017950501","Census Tract 9505.01; Bladen County; North Carolina","62022","20906",
"1400000US37017950502","Census Tract 9505.02; Bladen County; North Carolina","45000","22365",
"1400000US37017950601","Census Tract 9506.01; Bladen County; North Carolina","35231","12476",
"1400000US37017950602","Census Tract 9506.02; Bladen County; North Carolina","44013","13218",
"1400000US37019020101","Census Tract 201.01; Brunswick County; North Carolina","55216","7124",
"1400000US37019020102","Census Tract 201.02; Brunswick County; North Carolina","77604","13799",
"1400000US37019020105","Census Tract 201.05; Brunswick County; North Carolina","91436","11614",
"1400000US37019020106","Census Tract 201.06; Brunswick County; North Carolina","83971","26431",
