#  Watauga County, North Carolina Precipitation
# Units: Inches
# Base Period: 1900-2024
# Missing: -99
Date,Value,Anomaly
189501,5.23,1.24
189502,1.91,-1.90
189503,4.32,-0.47
189504,4.09,-0.29
189505,3.21,-1.62
189506,2.92,-1.91
189507,5.72,0.27
189508,5.31,0.05
189509,1.51,-2.99
189510,1.66,-2.29
189511,2.84,-0.91
189512,3.12,-0.81
189601,1.88,-2.11
189602,4.29,0.48
189603,4.80,0.01
189604,2.35,-2.03
189605,3.10,-1.73
189606,5.86,1.03
189607,9.15,3.70
189608,2.60,-2.66
189609,7.29,2.79
189610,1.29,-2.66
189611,7.99,4.24
189612,1.68,-2.25
189701,2.94,-1.05
189702,7.17,3.36
189703,7.94,3.15
189704,4.71,0.33
189705,3.58,-1.25
189706,5.54,0.71
189707,4.83,-0.62
189708,3.26,-2.00
189709,2.22,-2.28
189710,2.38,-1.57
189711,2.74,-1.01
189712,3.64,-0.29
189801,4.50,0.51
189802,0.83,-2.98
189803,5.08,0.29
189804,3.37,-1.01
189805,4.62,-0.21
189806,4.30,-0.53
189807,7.69,2.24
189808,6.58,1.32
189809,7.26,2.76
189810,7.15,3.20
189811,3.52,-0.23
189812,3.40,-0.53
189901,3.74,-0.25
189902,7.51,3.70
189903,12.51,7.72
189904,4.26,-0.12
189905,4.86,0.03
189906,4.30,-0.53
189907,3.52,-1.93
189908,4.65,-0.61
189909,4.09,-0.41
189910,1.63,-2.32
189911,1.47,-2.28
189912,3.31,-0.62
190001,2.53,-1.46
190002,7.62,3.81
190003,5.11,0.32
190004,3.89,-0.49
190005,2.49,-2.34
190006,8.17,3.34
190007,3.86,-1.59
190008,2.56,-2.70
190009,4.02,-0.48
190010,6.66,2.71
190011,5.32,1.57
190012,4.01,0.08
190101,3.96,-0.03
190102,1.79,-2.02
190103,6.36,1.57
190104,9.32,4.94
190105,10.11,5.28
190106,8.73,3.90
190107,2.54,-2.91
190108,18.15,12.89
190109,4.27,-0.23
190110,1.63,-2.32
190111,1.04,-2.71
190112,8.28,4.35
190201,2.33,-1.66
190202,6.78,2.97
190203,4.89,0.10
190204,1.81,-2.57
190205,2.10,-2.73
190206,6.32,1.49
190207,3.19,-2.26
190208,2.63,-2.63
190209,5.47,0.97
190210,4.04,0.09
190211,4.48,0.73
190212,3.77,-0.16
190301,4.05,0.06
190302,8.93,5.12
190303,8.82,4.03
190304,5.18,0.80
190305,1.83,-3.00
190306,6.38,1.55
190307,4.12,-1.33
190308,4.90,-0.36
190309,1.97,-2.53
190310,2.41,-1.54
190311,3.78,0.03
190312,1.62,-2.31
190401,2.31,-1.68
190402,3.08,-0.73
190403,4.99,0.20
190404,2.25,-2.13
190405,5.68,0.85
190406,4.86,0.03
190407,5.03,-0.42
190408,5.77,0.51
190409,2.26,-2.24
190410,0.07,-3.88
190411,3.81,0.06
190412,3.12,-0.81
190501,3.35,-0.64
190502,4.80,0.99
190503,1.83,-2.96
190504,3.16,-1.22
190505,7.27,2.44
190506,4.89,0.06
190507,10.80,5.35
190508,5.22,-0.04
190509,2.29,-2.21
190510,3.60,-0.35
190511,0.56,-3.19
190512,6.21,2.28
190601,7.86,3.87
190602,1.27,-2.54
190603,4.66,-0.13
190604,2.35,-2.03
190605,3.31,-1.52
190606,7.23,2.40
190607,6.81,1.36
190608,7.86,2.60
190609,5.16,0.66
190610,4.88,0.93
190611,4.39,0.64
190612,3.65,-0.28
190701,0.56,-3.43
190702,2.35,-1.46
190703,3.06,-1.73
190704,3.96,-0.42
190705,4.02,-0.81
190706,8.22,3.39
190707,5.10,-0.35
190708,3.76,-1.50
190709,5.10,0.60
190710,1.54,-2.41
190711,4.18,0.43
190712,5.53,1.60
190801,4.27,0.28
190802,4.47,0.66
190803,4.35,-0.44
190804,5.68,1.30
190805,4.58,-0.25
190806,5.19,0.36
190807,8.07,2.62
190808,7.38,2.12
190809,1.98,-2.52
190810,6.06,2.11
190811,1.77,-1.98
190812,4.84,0.91
190901,2.88,-1.11
190902,4.63,0.82
190903,6.38,1.59
190904,3.51,-0.87
190905,5.43,0.60
190906,7.57,2.74
190907,5.51,0.06
190908,5.06,-0.20
190909,4.77,0.27
190910,3.62,-0.33
190911,0.86,-2.89
190912,3.67,-0.26
191001,3.76,-0.23
191002,3.64,-0.17
191003,1.12,-3.67
191004,2.91,-1.47
191005,4.19,-0.64
191006,8.48,3.65
191007,5.45,0.00
191008,6.91,1.65
191009,4.13,-0.37
191010,4.17,0.22
191011,1.28,-2.47
191012,3.76,-0.17
191101,3.68,-0.31
191102,2.69,-1.12
191103,5.56,0.77
191104,6.16,1.78
191105,1.98,-2.85
191106,2.93,-1.90
191107,3.34,-2.11
191108,5.43,0.17
191109,3.78,-0.72
191110,6.44,2.49
191111,4.66,0.91
191112,4.32,0.39
191201,2.55,-1.44
191202,3.95,0.14
191203,7.64,2.85
191204,4.70,0.32
191205,5.30,0.47
191206,4.74,-0.09
191207,7.02,1.57
191208,2.16,-3.10
191209,5.26,0.76
191210,1.64,-2.31
191211,2.61,-1.14
191212,2.25,-1.68
191301,4.21,0.22
191302,3.64,-0.17
191303,9.19,4.40
191304,3.24,-1.14
191305,6.20,1.37
191306,4.29,-0.54
191307,3.64,-1.81
191308,6.87,1.61
191309,6.77,2.27
191310,3.85,-0.10
191311,2.35,-1.40
191312,3.30,-0.63
191401,3.14,-0.85
191402,3.32,-0.49
191403,4.63,-0.16
191404,4.35,-0.03
191405,1.47,-3.36
191406,2.76,-2.07
191407,5.80,0.35
191408,5.36,0.10
191409,2.78,-1.72
191410,5.63,1.68
191411,4.29,0.54
191412,8.15,4.22
191501,5.30,1.31
191502,4.32,0.51
191503,2.72,-2.07
191504,1.75,-2.63
191505,5.25,0.42
191506,3.78,-1.05
191507,4.15,-1.30
191508,7.54,2.28
191509,5.48,0.98
191510,3.02,-0.93
191511,3.98,0.23
191512,5.65,1.72
191601,3.86,-0.13
191602,3.90,0.09
191603,3.47,-1.32
191604,2.00,-2.38
191605,3.69,-1.14
191606,5.98,1.15
191607,13.64,8.19
191608,5.63,0.37
191609,4.00,-0.50
191610,3.95,0.00
191611,1.42,-2.33
191612,3.00,-0.93
191701,4.80,0.81
191702,2.84,-0.97
191703,7.97,3.18
191704,3.92,-0.46
191705,2.57,-2.26
191706,3.77,-1.06
191707,6.88,1.43
191708,3.61,-1.65
191709,4.23,-0.27
191710,3.95,0.00
191711,0.63,-3.12
191712,1.94,-1.99
191801,6.19,2.20
